country,country_code,year,ideology,ideology_se,affect,affect_se,ideology_observed,affect_observed,notes
Albania,ALB,1971,0.6599202442059112,0.01104598224012289,NA,NA,0,NA,NA
Albania,ALB,1972,0.8630523527922199,0.00541351091301103,NA,NA,0,NA,NA
Albania,ALB,1973,0.7322422530120979,0.01005918956106715,NA,NA,0,NA,NA
Albania,ALB,1974,0.6657999760092099,0.0107792319744965,NA,NA,0,NA,NA
Albania,ALB,1975,0.7380559051059489,0.00974123954278236,NA,NA,0,NA,NA
Albania,ALB,1976,0.726785724220486,0.00905041730890124,NA,NA,0,NA,NA
Albania,ALB,1977,0.5863893121461816,0.01060597445393933,NA,NA,0,NA,NA
Albania,ALB,1978,0.6669538209814764,0.01102127627567433,NA,NA,0,NA,NA
Albania,ALB,1979,0.7079060337938545,0.01033166034800751,NA,NA,0,NA,NA
Albania,ALB,1980,0.6419734032657556,0.01236655752613755,NA,NA,0,NA,NA
Albania,ALB,1981,0.6849551539721128,0.01096068537332621,NA,NA,0,NA,NA
Albania,ALB,1982,0.7289785121896032,0.01172628251946716,NA,NA,0,NA,NA
Albania,ALB,1983,0.8364306503491085,0.00990698257090125,NA,NA,0,NA,NA
Albania,ALB,1984,0.6211051704512839,0.01035310749675689,NA,NA,0,NA,NA
Albania,ALB,1985,0.7148718486088527,0.0089039151365138,NA,NA,0,NA,NA
Albania,ALB,1986,0.6657755801976413,0.01154081498842161,NA,NA,0,NA,NA
Albania,ALB,1987,0.6998925834606003,0.0104461156412093,NA,NA,0,NA,NA
Albania,ALB,1988,0.6850692121185854,0.00949381844609966,NA,NA,0,NA,NA
Albania,ALB,1989,0.6761545345281945,0.01218366138635868,NA,NA,0,NA,NA
Albania,ALB,1990,0.6897980920006754,0.00947813202681388,NA,NA,0,NA,NA
Albania,ALB,1991,0.6773367200880359,0.0100711546736932,NA,NA,1,NA,NA
Albania,ALB,1992,0.6365573024364155,0.01057072652530028,NA,NA,1,NA,NA
Albania,ALB,1993,0.726933451691348,0.01084350093831937,NA,NA,0,NA,NA
Albania,ALB,1994,0.6407502897796294,0.01001633644288747,NA,NA,0,NA,NA
Albania,ALB,1995,0.7502499845517643,0.00982617809382189,NA,NA,0,NA,NA
Albania,ALB,1996,0.7228036070436414,0.0091819059932762,NA,NA,0,NA,NA
Albania,ALB,1997,0.636957494659392,0.01295190880166132,NA,NA,0,NA,NA
Albania,ALB,1998,0.6324739847953336,0.01044789374223366,NA,NA,1,NA,NA
